"case_name","a","b","source_n","critical_n","boundary_n","shadow_boundary_delta","phi0_source_rows","reconstructed_clean_graphs","total_phi0_to_next_layer","total_phi1_to_next_layer","total_phi2_to_next_layer","status","report_path","report_sha256"
"R(3,3)","3","3","4","5","6","2","12","12","0","0","240","PASS_EXPECTED_PHI0_COUNT","C:\mcdo_ramsey_MASTER43\03_RUNS_PRIVATE\MACHURA_SHADOW_TRANSITION_V12_R33_K5_TO_K6_20260514_193755\REPORT_SHADOW_TRANSITION_FROM_PHI0_V12.json","3541AB974663350D1A88663BC57A77DDFA388F5F0904D0860BA4AA1A46BA65E8"
"R(3,4)","3","4","7","8","9","1","17640","17640","0","30240","383040","PASS_EXPECTED_PHI0_COUNT","C:\mcdo_ramsey_MASTER43\03_RUNS_PRIVATE\MACHURA_SHADOW_TRANSITION_V12_R34_K8_TO_K9_20260514_192737\REPORT_SHADOW_TRANSITION_FROM_PHI0_V12.json","3469EA2D7B54A0CBAB78B060BD0CB08BD6D3CF0196E92453862F8E63DDC930E1"
