idx	status	source_file	line_no	variant	core_sha256_bits	red_K5	blue_K5	red_K4_count	blue_K4_count	phi0_exists	phi0_timeout	phi0_nodes	phi0_elapsed_s	phi1_exists	phi1_timeout	phi1_nodes	phi1_elapsed_s	phi2_exists	phi2_timeout	phi2_nodes	phi2_elapsed_s	phi2_red_phi	phi2_blue_phi	phi2_degree	status_detail
237	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	119	source	d3aba037259052a1063d7c87795fdf8ece4c8bb5adc97a2481e9e21a439a4c0e	0	0	1151	1152	False	False	91	0.414	False	False	507	2.084	False	False	1513	6.059				phi 0,1,2 excluded
238	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	119	complement	c47d5317c753e7ff9b484741161719e226cb7279bc6f3cc4505162257c06fd42	0	0	1152	1151	False	False	91	0.422	False	False	507	2.108	False	False	1513	6.073				phi 0,1,2 excluded
239	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	120	source	f5906096bd9b989b0d6cc1c6421fe898c6de0305c4ff6443ee438a493b5c1800	0	0	1191	1129	False	False	83	0.385	False	False	457	1.926	False	False	1327	5.384				phi 0,1,2 excluded
240	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	120	complement	79e9956e05c329bb97008b20318a8d7d0bc773648b6d8329cbf18dd693a76eb2	0	0	1129	1191	False	False	83	0.386	False	False	457	1.914	False	False	1327	5.342				phi 0,1,2 excluded
241	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	121	source	f29377dc8f05791070736db4558c93b1d23b1c8303c879cf5d640e89cd983499	0	0	1178	1139	False	False	85	0.392	False	False	467	1.958	False	False	1475	5.878				phi 0,1,2 excluded
242	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	121	complement	86cf1eaa375adf97f5d3559fd9f041108fdc2d9004c0bbb11da3b3b4fedb2106	0	0	1139	1178	False	False	85	0.396	False	False	467	1.964	False	False	1475	5.889				phi 0,1,2 excluded
243	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	122	source	cea5f5e94c482028d4bc5a6580be1acc19c7d7884756faed27cd2fdef6090588	0	0	1194	1122	False	False	69	0.326	False	False	387	1.647	False	False	1249	5.054				phi 0,1,2 excluded
244	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	122	complement	fa66f7524ab087df15e6dfe8a854d05efe3a5a6908e955645b47e1f8c3cf4697	0	0	1122	1194	False	False	69	0.324	False	False	387	1.648	False	False	1249	5.062				phi 0,1,2 excluded
245	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	123	source	e3f226b3f62610feb2aa0d43101ba2bb905c72cf2b8fdea20872217a57330895	0	0	1158	1157	False	False	141	0.631	False	False	723	2.942	False	False	1957	7.668				phi 0,1,2 excluded
246	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	123	complement	8b3ccdd5c6b55ebb3167204c20ebf8fdbc0ad577ca3a576e13f8194efc3e4750	0	0	1157	1158	False	False	141	0.645	False	False	723	2.949	False	False	1957	7.712				phi 0,1,2 excluded
247	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	124	source	e2a55bc325b9c241086b69b323168f2f18b587adcfb45b6e725c5311e2addfa7	0	0	1141	1169	False	False	85	0.388	False	False	479	1.977	False	False	1479	5.835				phi 0,1,2 excluded
248	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	124	complement	e9789a022f733c74dd62318c0f5841baa83e88a122d82b7952f4f2e90d0a672e	0	0	1169	1141	False	False	85	0.397	False	False	479	1.994	False	False	1479	5.903				phi 0,1,2 excluded
249	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	125	source	b700fe55d445ff18879a4e1c473bccc0d8b4274a260b01b03b43205162cd1a53	0	0	1141	1168	False	False	89	0.412	False	False	465	1.933	False	False	1367	5.46				phi 0,1,2 excluded
250	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	125	complement	da9e8f87fdf73e03bbc9392881451bbbea52b747bea29e392780a28ecd2719cc	0	0	1168	1141	False	False	89	0.431	False	False	465	1.997	False	False	1367	5.639				phi 0,1,2 excluded
251	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	126	source	3664d046666d269993edbd7f65f77d0fe1319f6f0532b4ba75156c029b886f2f	0	0	1154	1159	False	False	85	0.401	False	False	433	1.841	False	False	1355	5.505				phi 0,1,2 excluded
252	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	126	complement	74bd964df00b90304a5300981763a2e0d8d001394ae8813d062f0c9bcc57e846	0	0	1159	1154	False	False	85	0.409	False	False	433	1.9	False	False	1355	5.643				phi 0,1,2 excluded
253	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	127	source	7b062e38d9575d51e6d67852f3b41fae50f3767dd74923692901297577ffc246	0	0	1124	1182	False	False	69	0.315	False	False	353	1.479	False	False	1129	4.533				phi 0,1,2 excluded
254	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	127	complement	4f73d3865e635ad891917f857abb7e1e35076d0f21557cafc04d5e6c9ea6e48d	0	0	1182	1124	False	False	69	0.319	False	False	353	1.494	False	False	1129	4.567				phi 0,1,2 excluded
255	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	128	source	2fefe712b19ef9407d3d7978e576d040e4ff6b56937e32c6fe08b522b8119348	0	0	1137	1167	False	False	69	0.315	False	False	383	1.579	False	False	1165	4.615				phi 0,1,2 excluded
256	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	128	complement	77f7cb0c725f1529796df2031cbbbf1d6bdce1e3660294e10d8c7a263f346850	0	0	1167	1137	False	False	69	0.311	False	False	383	1.59	False	False	1165	4.662				phi 0,1,2 excluded
257	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	129	source	d51729ca2da65e36d8dfeaff785996fe944668683aede6037ec63804967c10cd	0	0	1150	1155	False	False	83	0.367	False	False	461	1.87	False	False	1319	5.191				phi 0,1,2 excluded
